month,date,vol,vol_unadj
60,2005-01,7039449976.36493,5773018476
61,2005-02,16628328398.8095,13555089468
62,2005-03,7020461497.293,7413372396
63,2005-04,7150662090.5857,7541863956
64,2005-05,6988789774.70747,7748510040
65,2005-06,8106262532.72,9322661456
66,2005-07,7027194622.349,7449141872
67,2005-08,7584018458.6029,8372108272
68,2005-09,7522435953.97539,7006987632
69,2005-10,6869049368.86002,6530290024
70,2005-11,6939161893.45183,7118940324
71,2005-12,7422416157.3479,6691538280
72,2006-01,7716338875.18411,6532372212
73,2006-02,7522911683.88401,6133432048
74,2006-03,7473159074.54857,7882089336
75,2006-04,7536218946.48402,7669606556
76,2006-05,7525141949.49164,8676431628
77,2006-06,7529462987.51244,8665779016
78,2006-07,7641617519.37186,8087723548
79,2006-08,7346820054.55307,8100058932
80,2006-09,7457964286.03825,6706762880
81,2006-10,7783607887.70636,7691142136
82,2006-11,7567619038.0671,7772916480
83,2006-12,7813097678.91709,6806963512
84,2007-01,8365816947.21205,7266943140
85,2007-02,7653278640.2062,6221490360
86,2007-03,7648177880.64318,7775995808
87,2007-04,7384221555.37552,7812597024
88,2007-05,7501293312.66514,8692442028
89,2007-06,7458980400.53789,8285368380
90,2007-07,7535010327.98272,8242483836
91,2007-08,7447612199.12755,8201190144
92,2007-09,7245376403.08623,6296706468
93,2007-10,7024036957.37567,7225950092
94,2007-11,7411937042.73429,7635848148
95,2007-12,6722080238.68917,5879671236
96,2008-01,6745846351.91331,5767505332
97,2008-02,7130944819.28263,6019374120
98,2008-03,6723700295.60226,6584905480
99,2008-04,6620061540.72573,7291405096
100,2008-05,6494131665.54718,7280155376
101,2008-06,6131843534.99393,6834770152
102,2008-07,6032380187.68776,6829372756
103,2008-08,5970005998.72319,6115906252
104,2008-09,5853829970.62294,5509989648
105,2008-10,4765495633.44207,4904910984
106,2008-11,4798071303.13383,4598474628
107,2008-12,4527369974.64474,4279371084
108,2009-01,4412558372.16626,3565890072
109,2009-02,4370108780.03963,3476692576
110,2009-03,3972462574.43187,4042343064
111,2009-04,3918434521.56116,4339363492
112,2009-05,3842564567.91026,4177034032
113,2009-06,3808376712.23453,4421301360
114,2009-07,3678366850.31978,4146477184
115,2009-08,3508887568.54327,3606649904
116,2009-09,3519666365.01433,3340987044
117,2009-10,3524621669.80238,3490330392
118,2009-11,3406810555.91415,3387932712
119,2009-12,3561199711.68652,3375740336
120,2010-01,3412372573.77868,2614563676
121,2010-02,3344799306.52284,2623419192
122,2010-03,3617201308.06537,3808602620
123,2010-04,3601393726.03777,4005526580
124,2010-05,3843472688.01142,4190906540
125,2010-06,3475489048.72773,4067488248
126,2010-07,3601800146.73056,3916822944
127,2010-08,3813481480.02264,4088837844
128,2010-09,3773380261.79514,3613996624
129,2010-10,3837970289.58378,3645340472
130,2010-11,3847325154.66667,3951496012
131,2010-12,3844685648.38524,3641083496.8
132,2011-01,3894898809.40907,2947302400
133,2011-02,3839452956.4363,2970001492
134,2011-03,3988527502.34526,4196508648
135,2011-04,4148905480.48273,4458204964
136,2011-05,4026845047.9128,4583170916
137,2011-06,4143502244.55464,4883792152
138,2011-07,4324769069.88083,4540491542
139,2011-08,4257859271.18577,4761924764
140,2011-09,4372442903.57872,4208736396
141,2011-10,4356854912.4999,4130142024
142,2011-11,4476576487.93925,4567090272
143,2011-12,4599880672.13941,4176032076
144,2012-01,4472300863.79877,3491528056
145,2012-02,4504186249.41943,3612615752
146,2012-03,4677362581.43556,4735553004
147,2012-04,4598128073.48691,4948123592
148,2012-05,4743694024.89504,5628145640
149,2012-06,4652278034.36749,5303020064
150,2012-07,4539599118.63182,4983362976
151,2012-08,4690898634.07617,5266102197.6
152,2012-09,4838974319.24317,4328773336
153,2012-10,4677182844.78022,4769275284
154,2012-11,4821040696.67015,4889079892
155,2012-12,5014252475.30529,4342550126.4
156,2013-01,5151442442.65362,4159249776
157,2013-02,5261295866.69116,4024559532
158,2013-03,5182432381.96908,5073798972
159,2013-04,5410545509.8329,6041637188
160,2013-05,5433488011.35677,6490136392
161,2013-06,5827317836.29418,6390479820
162,2013-07,5813133696.62858,6646059768
163,2013-08,6204325401.69723,6720635480
164,2013-09,5806970809.56307,5378264184
165,2013-10,5806232404.72695,5942186544
166,2013-11,5985369580.26648,5823197876
167,2013-12,5905946190.32757,5240680376
168,2014-01,6039912084.01115,4888129596
169,2014-02,6114974016.04118,4707188044
170,2014-03,6304945864.4742,6182505304
171,2014-04,6344757859.21654,7091128116
172,2014-05,6721418944.82109,7748717892
173,2014-06,6663242748.65777,7558381536
174,2014-07,6699444173.59064,7694775968
175,2014-08,6813382820.23008,7101182016
176,2014-09,6816510268.21553,6530636088
177,2014-10,7158899781.52358,7368735068
178,2014-11,7045784202.76522,6581596480
179,2014-12,6837953771.90044,6226152024
180,2015-01,7892870301.11483,6168803820
181,2015-02,7406346954.21291,5746915628
182,2015-03,7238152735.22932,7401160140
183,2015-04,7878678698.24246,8808574408
184,2015-05,8023370910.12092,8922760336
185,2015-06,7944411527.70638,9308724840
186,2015-07,8425440831.77923,9673734328
187,2015-08,8504897526.96727,8846135562
188,2015-09,8560107136.53619,8181990284
189,2015-10,8763601891.6256,8762571660
190,2015-11,8969574743.93427,8663006048
191,2015-12,8929827273.92009,8068015944
192,2016-01,9009651442.96799,6808949040.29048
193,2016-02,9319949377.27593,7610635441.93099
194,2016-03,9204770298.84804,9799348177.93078
195,2016-04,8819840598.98556,9531050977.72463
196,2016-05,7970336197.26208,9175254836.78988
197,2016-06,8515013421.96274,9927786507.13438
198,2016-07,8354315767.22711,8916602069.68949
199,2016-08,8215518177.91219,9181180856.44176
200,2016-09,8721326262.72877,8330301542.90616
201,2016-10,8260137904.08738,7997332533.84042
202,2016-11,7649439423.75411,7653941815.25689
